epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39726.1,0.72902,0.462,0.98418,0.97218,0.98264,0.98913,0.72813,1.0316,0.4307,1.18447,0.000600384,0.000600384,0.000600384
43,40774.4,0.73744,0.45708,0.98807,0.97956,0.97008,0.98752,0.73204,1.01961,0.43219,1.1836,0.000580174,0.000580174,0.000580174
44,42076.9,0.71603,0.44586,0.98192,0.97726,0.97753,0.98458,0.72692,1.02898,0.42433,1.18523,0.000559964,0.000559964,0.000559964
45,43260.4,0.72213,0.44852,0.98576,0.97769,0.97777,0.98336,0.72977,1.0657,0.42612,1.2087,0.000539754,0.000539754,0.000539754
46,44325.4,0.71674,0.44427,0.98098,0.98374,0.98264,0.99039,0.72256,1.05792,0.41042,1.21304,0.000519544,0.000519544,0.000519544
47,45572.7,0.71624,0.45123,0.98494,0.98658,0.9874,0.99052,0.73412,1.04685,0.41586,1.20073,0.000499333,0.000499333,0.000499333
48,46741.7,0.70109,0.43817,0.97663,0.97442,0.98349,0.98428,0.73269,1.03194,0.4095,1.18289,0.000479123,0.000479123,0.000479123
49,47812.8,0.70661,0.43824,0.97623,0.9741,0.97569,0.98434,0.73827,1.0351,0.4193,1.19724,0.000458913,0.000458913,0.000458913
50,48937.4,0.69429,0.42442,0.97236,0.97849,0.97992,0.99052,0.73723,1.03404,0.42943,1.17374,0.000438703,0.000438703,0.000438703
51,49795.7,0.68575,0.42752,0.97105,0.98143,0.97861,0.98979,0.74198,1.0239,0.41253,1.16943,0.000418493,0.000418493,0.000418493
52,50642,0.68146,0.42423,0.96464,0.97381,0.98264,0.98889,0.72873,1.04384,0.41109,1.20516,0.000398283,0.000398283,0.000398283
53,51500.5,0.67357,0.41164,0.96774,0.98595,0.98958,0.98999,0.7238,1.07109,0.40392,1.20904,0.000378073,0.000378073,0.000378073
54,52406.3,0.67091,0.41675,0.96665,0.9903,0.96642,0.98958,0.72864,1.04522,0.41597,1.19717,0.000357862,0.000357862,0.000357862
